dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction,abs_coef
NSCLC-Aung2025,immunotherapy_response,1,DCs,0.5309719234909915,0.5033383201047786,0.6666666666666666,15,1.0,0.3797401682699521,0.5280882674641207,0.0,1.74158702598013,2992,0.518048128342246,positive,crosses zero,0.5309719234909915
NSCLC-Aung2025,immunotherapy_response,1,Tumour,-0.4008807089413563,0.3334320282484063,0.7333333333333333,15,1.0,-0.3953515436849359,0.5544363106823619,-1.7889486112231354,0.0,2992,0.5431149732620321,negative,crosses zero,0.4008807089413563
NSCLC-Aung2025,immunotherapy_response,1,B_Cells,-0.3977297074846114,0.5142253068335161,0.8,15,1.0,-0.4141231282411954,0.6909213420277954,-2.0604364845396046,0.5835274140406355,2992,0.5598262032085561,negative,crosses zero,0.3977297074846114
NSCLC-Aung2025,immunotherapy_response,1,Unidentified,-0.2924554034604177,0.2618774315891318,0.8666666666666667,15,1.0,-0.2320814722442698,0.4967996320075041,-1.3482462400709672,0.6849631096758791,2992,0.5317513368983957,negative,crosses zero,0.2924554034604177
NSCLC-GNN-Hoebel2026,stage_binary,1,FOXP3+,0.4727141232370808,0.0539579713961129,1.0,15,1.0,0.4839586877414755,0.1398241908137052,0.2181804470403997,0.7661534564326696,3000,1.0,positive,positive,0.4727141232370808
NSCLC-GNN-Hoebel2026,stage_binary,1,PD-1- CD8+,-0.4345207822306666,0.0627499366972706,1.0,15,1.0,-0.4559431423598844,0.161046858790152,-0.8014331655423739,-0.1727177939046554,3000,1.0,negative,negative,0.4345207822306666
NSCLC-GNN-Hoebel2026,stage_binary,1,Unspecified,-0.3419933243436912,0.0484169262329534,1.0,15,1.0,-0.340933884501752,0.1247780725413458,-0.5836494727543632,-0.1047971540126709,3000,0.996,negative,negative,0.3419933243436912
NSCLC-GNN-Hoebel2026,stage_binary,1,PD-L1+ tumor,0.2658883697293724,0.0541601030561277,1.0,15,1.0,0.2798819742049729,0.1379451469865419,0.0230715563230811,0.5679781638871583,3000,0.9846666666666668,positive,positive,0.2658883697293724
NSCLC-GNN-Hoebel2026,stage_binary,1,PD-1+ (CD8-),-0.2448822164021941,0.0514794693833208,1.0,15,1.0,-0.2641375304594331,0.1313396976589553,-0.5253781301789269,-0.0251304664814701,3000,0.9973333333333332,negative,negative,0.2448822164021941
NSCLC-ICI-Monkman2024,immunotherapy_response,1,Proliferating Lymphocytes,1.0852061078735935,0.2958123528453436,1.0,15,1.0,0.7611561121407909,0.6470530536306036,0.0,2.073565106587845,3000,0.7616666666666667,positive,crosses zero,1.0852061078735935
NSCLC-ICI-Monkman2024,immunotherapy_response,1,Stroma,1.0322905303064065,0.2259315362167739,1.0,15,1.0,0.6919865929255109,0.6345231058870814,0.0,2.054071404088117,3000,0.722,positive,crosses zero,1.0322905303064065
NSCLC-ICI-Monkman2024,immunotherapy_response,1,Treg,-0.563496214991829,0.3426429913598505,1.0,15,1.0,-0.5173799157368617,0.6102344027252707,-1.978933952564472,0.0,3000,0.6233333333333333,negative,crosses zero,0.563496214991829
NSCLC-ICI-Monkman2024,immunotherapy_response,1,Lymphatics,-0.4109773378525337,0.210657931790562,1.0,15,1.0,-0.3623075008419354,0.5317831322608425,-1.7396480325722017,0.0,3000,0.526,negative,crosses zero,0.4109773378525337
NSCLC-ICI-Monkman2024,immunotherapy_response,1,HLADR Tumour,0.372919035972906,0.2631583707757348,0.9333333333333332,15,1.0,0.3701446038383024,0.5425813746150939,-0.6370936580007098,1.579756398343462,3000,0.6906666666666667,positive,crosses zero,0.372919035972906
TNBC-Wang2023,pCR_all,1,panCK^{med},-0.4980347082255341,0.1335367341643431,1.0,15,1.0,-0.5530556164590041,0.2813927229544716,-1.180552742849124,-0.092495419355918,3000,0.9976666666666668,negative,negative,0.4980347082255341
TNBC-Wang2023,pCR_all,1,TCF1^{+},-0.4351554054396556,0.1239498287356336,1.0,15,1.0,-0.561352206830897,0.3894663555974152,-1.4904713727469312,-0.0551503209708397,3000,0.9976666666666668,negative,negative,0.4351554054396556
TNBC-Wang2023,pCR_all,1,CA9^+,-0.3105469763523737,0.1114965956504602,1.0,15,1.0,-0.3543044307532027,0.3470932462217073,-1.246604887522428,0.0865135670578699,3000,0.9656666666666668,negative,crosses zero,0.3105469763523737
TNBC-Wang2023,pCR_all,1,CD8^+PD1^+T_{Ex},-0.296604321269436,0.0845148910124364,1.0,15,1.0,-0.325046217674532,0.2299926220495258,-0.8333500108719998,0.0691025043572873,3000,0.9826666666666668,negative,crosses zero,0.296604321269436
TNBC-Wang2023,pCR_all,1,Endothelial,-0.2824947067895021,0.1109352764996134,1.0,15,1.0,-0.3019232955960614,0.1998713148334625,-0.713032908000705,0.0455770832051155,3000,0.981,negative,crosses zero,0.2824947067895021
TNBC-Wang2023,pCR_arm_C,1,TCF1^{+},-0.6062248642774161,0.4025349914856488,1.0,15,1.0,-0.9264548859781816,0.748390745111509,-2.8949784715316897,-0.0020615912644446,3000,0.9886666666666668,negative,negative,0.6062248642774161
TNBC-Wang2023,pCR_arm_C,1,CD8^+PD1^+T_{Ex},-0.3937892469879525,0.1224113548255786,1.0,15,1.0,-0.4343253278546927,0.4197101608788357,-1.363618578421881,0.277903514263347,3000,0.9353333333333332,negative,crosses zero,0.3937892469879525
TNBC-Wang2023,pCR_arm_C,1,DCs,0.3582451046026734,0.1062844234619235,1.0,15,1.0,0.4284636822876684,0.3056957863458002,-0.0670348883142171,1.082919326945959,3000,0.963,positive,crosses zero,0.3582451046026734
TNBC-Wang2023,pCR_arm_C,1,PD-L1^+APCs,0.3550807693623049,0.1564358008173363,1.0,15,1.0,0.4954631174078696,0.4982941006871255,-0.1828211263017418,1.7421134842894477,3000,0.922,positive,crosses zero,0.3550807693623049
TNBC-Wang2023,pCR_arm_C,1,Myofibroblasts,0.3413219823381412,0.2883594553302726,1.0,15,1.0,0.4765740419389815,0.6131535202323422,-0.5590841483961304,1.8212331525731096,3000,0.9396666666666668,positive,crosses zero,0.3413219823381412
TNBC-Wang2023,pCR_arm_CI,1,panCK^{med},-1.0249771695652818,0.1494790526356985,1.0,15,1.0,-1.279511580787812,0.6884957023414191,-2.911653471833234,-0.2489757051398051,3000,0.9986666666666668,negative,negative,1.0249771695652818
TNBC-Wang2023,pCR_arm_CI,1,CK^{hi}GATA3^{+},-0.985737383724034,0.3557726585128306,1.0,15,1.0,-1.0117515486330655,0.6957246710522833,-2.640550297256783,-0.0067663062796441,3000,0.9803333333333332,negative,negative,0.985737383724034
TNBC-Wang2023,pCR_arm_CI,1,TCF1^{+},-0.4470749009284142,0.2872520510280502,1.0,15,1.0,-0.6009660620066681,0.6267204274785996,-2.1935207355233475,0.2210840269890371,3000,0.9633333333333334,negative,crosses zero,0.4470749009284142
TNBC-Wang2023,pCR_arm_CI,1,CK8/18^{med},0.4367231805576923,0.1263445249406449,1.0,15,1.0,0.5836347008170034,0.4458207541276684,-0.1292274389890819,1.5601611787247218,3000,0.9823333333333332,positive,crosses zero,0.4367231805576923
TNBC-Wang2023,pCR_arm_CI,1,M2 Mac,-0.3407457137906068,0.1416013042741336,1.0,15,1.0,-0.4252888561152674,0.385299228453144,-1.34070667789828,0.123080506977407,3000,0.9473333333333334,negative,crosses zero,0.3407457137906068
